year,claim,ret,dgrowth,pd
1953,growth,0.018197218111409397,0.01973612878596881,21.421915982110146
1954,growth,0.46671985603473654,0.10165514912918117,27.197139993673815
1955,growth,0.28146495510385217,0.10900067607426467,30.149189171620545
1956,growth,0.03732152689759349,0.015570551234834001,29.772911369994716
1957,growth,-0.11644026098203619,-0.012948464815787347,25.72471144992076
1958,growth,0.38296568106398987,-0.02600454246682049,35.30415644055977
1959,growth,0.14487066687102024,-0.007875750199427933,39.6665132025302
1960,growth,-0.03411706580148122,-0.050944393678064415,39.28297420312154
1961,growth,0.2231199212593915,-0.04310981217147797,49.09869078389819
1962,growth,-0.16056553861346368,0.06139283013796526,37.738524832035914
1963,growth,0.20016251148971698,0.15774572454857255,37.61179186511965
1964,growth,0.14487488537499926,0.09431052263200838,38.13114924915471
1965,growth,0.15312372586015566,0.0686147161161409,39.98570224630861
1966,growth,-0.12674179327657942,-0.058033351499500806,36.032798439443056
1967,growth,0.29740893361523346,-0.1512612702677165,53.284158175950786
1968,growth,0.011783863372201386,-0.17626190036233919,63.2647940975901
1969,growth,-0.013149746940600893,-0.15174013267746694,71.61894791309437
1970,growth,-0.15067907159647753,0.005185021617519103,59.41753411893161
1971,growth,0.19901431399269276,0.12805333867113694,61.58990318601087
1972,growth,0.18328437756025706,-0.012580598170844004,72.7259805192561
1973,growth,-0.2569857418796524,-0.14536602569291363,61.59617788365038
1974,growth,-0.37678735477609315,0.03389397058778276,36.25002706568639
1975,growth,0.2255138292741743,0.07979466911898075,39.99798144759227
1976,growth,0.08200202464122341,0.03903860180385771,40.590119688359025
1977,growth,-0.14613331620776726,0.13542682088924662,29.260746939453426
1978,growth,0.005823213572823338,-0.004915329970867965,28.53757140160535
1979,growth,0.06701094566729271,-0.00821551632983164,29.62081210812639
1980,growth,0.2578885501922821,-0.11458618294974521,40.53509919750628
1981,growth,-0.1599110654025384,-0.09731403473934547,36.57481666940421
1982,growth,0.14824987095535058,-0.04510596921509019,42.68444522484677
1983,growth,0.11619049009634175,-0.03486202214792167,48.32748588460817
